Timestamp,Event,Event Description,Event Severity,network_table:///FMSInfo/EventName,network_table:///FMSInfo/FMSControlData,network_table:///FMSInfo/GameSpecificMessage,network_table:///FMSInfo/IsRedAlliance,network_table:///FMSInfo/MatchNumber,network_table:///FMSInfo/MatchType,network_table:///FMSInfo/ReplayNumber,network_table:///FMSInfo/StationNumber,network_table:///LiveWindow/Ungrouped/Talon FX [0]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [1]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [2]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [3]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [4]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [5]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [13]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [14]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [8]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [9]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [10]/Value,network_table:///LiveWindow/Ungrouped/navX-Sensor/Value,network_table:///Shuffleboard/drive/KF,network_table:///Shuffleboard/drive/KI,network_table:///Shuffleboard/drive/KP,network_table:///Shuffleboard/drive/Target RPM,network_table:///SmartDashboard/Shooter KF Feedback,network_table:///SmartDashboard/Shooter KP Feedback,network_table:///SmartDashboard/Shooter RPM Feedback,network_table:///SmartDashboard/left stick:,network_table:///SmartDashboard/right stick:,network_table:///SmartDashboard/shooter1RPM:,network_table:///SmartDashboard/shooter2RPM:,network_table:///SmartDashboard/shooterFalcon1 velocity:,network_table:///SmartDashboard/shooterFalcon2 velocity:,network_table:///SmartDashboard/targetRPM:,network_table:///SmartDashboard/targetUp100ms:
1573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5272.55859375,5271.6796875,17997.0,17994.0,,
1613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5271.6796875,5271.97265625,17994.0,17995.0,,
1633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5269.921875,,17988.0,,
1653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5269.62890625,,17987.0,,,
1673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5268.45703125,5269.04296875,,,,
1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17983.0,17985.0,,
1694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5268.75,5269.62890625,17984.0,17987.0,,
1714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5266.69921875,5266.9921875,17977.0,17978.0,,
1734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5266.69921875,,17977.0,,
1754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5265.52734375,5264.94140625,17973.0,17971.0,,
1775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5265.8203125,,17974.0,,
1794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5264.6484375,5263.4765625,17970.0,17966.0,,
1814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5264.0625,5263.76953125,17968.0,17967.0,,
1834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5262.890625,5262.3046875,,,,
1835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17964.0,17962.0,,
1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5264.0625,,,,
1855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17968.0,,
1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5261.71875,5262.3046875,17960.0,17962.0,,
1915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5262.59765625,5261.42578125,17963.0,17959.0,,
1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5262.3046875,5263.76953125,17962.0,17967.0,,
1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5262.01171875,,17961.0,,
1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5261.42578125,5262.3046875,17959.0,17962.0,,
1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5261.42578125,,17959.0,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5261.71875,5262.890625,17960.0,17964.0,,
2036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5260.83984375,,17957.0,,
2056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5259.9609375,5261.1328125,17954.0,17958.0,,
2076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5260.83984375,5259.08203125,17957.0,17951.0,,
2098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5260.546875,,17956.0,,
2116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5259.08203125,5258.7890625,17951.0,17950.0,,
2137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5257.32421875,5258.203125,17945.0,17948.0,,
2157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5256.15234375,,17941.0,,
2177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5256.4453125,,,,,
2178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5258.203125,17942.0,17948.0,,
2197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5256.15234375,,17941.0,,
2218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5256.73828125,5255.56640625,17943.0,17939.0,,
2238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5254.39453125,5254.1015625,17935.0,17934.0,,
2258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5255.859375,,17940.0,,
2278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5254.6875,,17936.0,,
2298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5254.1015625,5254.98046875,17934.0,17937.0,,
2318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5255.859375,5254.1015625,,,,
2319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17940.0,17934.0,,
2338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5254.1015625,5256.15234375,17934.0,17941.0,,
2358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5254.39453125,,,,
2359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17935.0,,
2379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5252.9296875,5254.1015625,17930.0,17934.0,,
2419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5253.80859375,5253.22265625,17933.0,17931.0,,
2439,,,,,,,,,,,,,,,,,,,,,,,-6.079999923706055,,,,,,,,,,5251.46484375,5251.46484375,17925.0,17925.0,,
2459,,,,,,,,,,,,,,,,,,,,,,,-6.070000171661377,,,,,,,,,,5249.12109375,5250.5859375,17917.0,17922.0,,
2479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5249.70703125,,,,,
2480,,,,,,,,,,,,,,,,,,,,,,,-6.079999923706055,,,,,,,,,,,5247.94921875,17919.0,17913.0,,
2499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5247.0703125,5249.12109375,17910.0,17917.0,,
2519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5247.36328125,5246.77734375,,,,
2520,,,,,,,,,,,,,,,,,,,,,,,-6.070000171661377,,,,,,,,,,,,17911.0,17909.0,,
2540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5244.43359375,5245.60546875,17901.0,17905.0,,
2560,,,,,,,,,,,,,,,,,,,,,,,-6.079999923706055,,,,,,,,,,,5243.5546875,,17898.0,,
2580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5245.01953125,5244.7265625,17903.0,17902.0,,
2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5242.67578125,5242.67578125,17895.0,,,
2601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17895.0,,
2620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5243.5546875,5242.3828125,17898.0,17894.0,,
2640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5241.2109375,5240.91796875,17890.0,17889.0,,
2660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5240.625,,,,,
2661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5242.67578125,17888.0,17895.0,,
2679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5241.2109375,5240.91796875,17890.0,,,
2680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17889.0,,
2700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5239.16015625,5240.625,17883.0,17888.0,,
2720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5240.33203125,5238.57421875,17887.0,17881.0,,
2740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5240.0390625,,17886.0,,
2760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5238.57421875,5237.98828125,17881.0,17879.0,,
2780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5236.23046875,5237.40234375,17873.0,17877.0,,
2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5235.05859375,,17869.0,,
2821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5233.88671875,5236.5234375,17865.0,17874.0,,
2841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5233.30078125,,17863.0,,
2861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5232.421875,,17860.0,,
2881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5231.8359375,5230.6640625,,,,
2882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17858.0,17854.0,,
2901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.95703125,,,,,
2902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5232.421875,17855.0,17860.0,,
2922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5229.78515625,,17851.0,,
2942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5229.78515625,5230.078125,17851.0,17852.0,,
2962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.078125,5229.19921875,17852.0,17849.0,,
2982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.6640625,5231.54296875,17854.0,17857.0,,
3004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.95703125,5230.078125,17855.0,17852.0,,
3023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5231.54296875,5231.25,17857.0,17856.0,,
3042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5232.421875,,,,,
3043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5231.54296875,17860.0,17857.0,,
3063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5233.88671875,5233.88671875,17865.0,17865.0,,
3083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5233.30078125,5232.71484375,17863.0,17861.0,,
3103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5233.88671875,5233.30078125,17865.0,17863.0,,
3123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5233.30078125,5234.1796875,17863.0,17866.0,,
3143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5233.59375,5232.421875,17864.0,17860.0,,
