Timestamp,Event,Event Description,Event Severity,network_table:///FMSInfo/EventName,network_table:///FMSInfo/FMSControlData,network_table:///FMSInfo/GameSpecificMessage,network_table:///FMSInfo/IsRedAlliance,network_table:///FMSInfo/MatchNumber,network_table:///FMSInfo/MatchType,network_table:///FMSInfo/ReplayNumber,network_table:///FMSInfo/StationNumber,network_table:///LiveWindow/Ungrouped/Talon FX [0]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [1]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [2]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [3]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [4]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [5]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [13]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [14]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [8]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [9]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [11]/Value,network_table:///LiveWindow/Ungrouped/navX-Sensor/Value,network_table:///Shuffleboard/drive/Feeder % req,network_table:///Shuffleboard/drive/KF,network_table:///Shuffleboard/drive/KI,network_table:///Shuffleboard/drive/KP,network_table:///SmartDashboard/Shooter KF Feedback,network_table:///SmartDashboard/Shooter KP Feedback,network_table:///SmartDashboard/Shooter RPM Feedback,network_table:///SmartDashboard/feedPercentReqFB:,network_table:///SmartDashboard/left stick:,network_table:///SmartDashboard/right stick:,network_table:///SmartDashboard/shooter1RPM:,network_table:///SmartDashboard/shooter2RPM:,network_table:///SmartDashboard/shooterFalcon1 velocity:,network_table:///SmartDashboard/shooterFalcon2 velocity:,network_table:///SmartDashboard/targetRPM:,network_table:///SmartDashboard/targetUp100ms:
1704,,,,,,,,,,,,,,,,,,,,,,,-0.9599999785423279,,,,,,,,,,,5724.609375,5728.41796875,19540.0,19553.0,,
1723,,,,,,,,,,,,,,,,,,,,,,,-0.9700000286102295,,,,,,,,,,,,5722.8515625,,19534.0,,
1837,,,,,,,,,,,,,,,,,,,,,,,-0.9599999785423279,,,,,,,,,,,5707.6171875,5707.32421875,19482.0,19481.0,,
1844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5700.29296875,5702.63671875,19457.0,19465.0,,
1864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5698.828125,,19452.0,,
1884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5691.50390625,5691.50390625,19427.0,19427.0,,
1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5687.40234375,5688.28125,19413.0,19416.0,,
1944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5679.78515625,5685.05859375,19387.0,19405.0,,
1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5681.54296875,,19393.0,,
1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5676.26953125,5673.6328125,19375.0,19366.0,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5669.53125,5668.359375,19352.0,19348.0,,
2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5664.2578125,,19334.0,,
2046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5666.015625,5660.44921875,19340.0,19321.0,,
2065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5661.328125,5657.51953125,19324.0,19311.0,,
2086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5657.51953125,,19311.0,,,
2106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5650.1953125,5650.78125,19286.0,19288.0,,
2146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5642.28515625,5644.04296875,19259.0,19265.0,,
2187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5636.1328125,5639.35546875,19238.0,19249.0,,
2207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5631.4453125,5629.98046875,19222.0,19217.0,,
2248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5622.94921875,5623.828125,19193.0,19196.0,,
2288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5619.7265625,5616.50390625,19182.0,19171.0,,
2307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5615.0390625,,19166.0,,,
2327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5608.59375,5608.88671875,19144.0,19145.0,,
2347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5603.3203125,,19126.0,,
2368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5605.95703125,,19135.0,,,
2388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5600.9765625,5600.390625,19118.0,19116.0,,
2408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5593.9453125,5594.23828125,19094.0,19095.0,,
2449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5586.03515625,5588.0859375,19067.0,19074.0,,
2488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5581.0546875,5579.296875,19050.0,19044.0,,
2529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5572.265625,5573.14453125,19020.0,19023.0,,
2551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5569.62890625,,,,,
2552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19011.0,,,
2569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5566.69921875,5570.5078125,19001.0,19014.0,,
2590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5562.59765625,5566.40625,18987.0,19000.0,,
2609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5564.35546875,,18993.0,,
2629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5559.66796875,5561.42578125,18977.0,18983.0,,
2649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5557.91015625,5556.15234375,18971.0,18965.0,,
2669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5553.80859375,5552.34375,18957.0,18952.0,,
2689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5547.0703125,5550.29296875,18934.0,18945.0,,
2710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5544.140625,5543.5546875,18924.0,18922.0,,
2730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5540.0390625,5541.796875,18910.0,18916.0,,
2750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5537.98828125,5538.28125,18903.0,18904.0,,
2799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5530.95703125,5531.25,18879.0,18880.0,,
2830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5525.09765625,5525.09765625,18859.0,18859.0,,
2871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5521.2890625,5522.16796875,18846.0,18849.0,,
2891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5516.6015625,5514.84375,18830.0,18824.0,,
2911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5512.20703125,5511.328125,18815.0,18812.0,,
2931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5508.3984375,5509.5703125,18802.0,18806.0,,
2951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5506.34765625,5506.0546875,18795.0,18794.0,,
2991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5499.0234375,5500.78125,18770.0,18776.0,,
3032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5494.04296875,5496.6796875,18753.0,18762.0,,
3052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5493.1640625,,,,
3053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18750.0,,
3072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5490.234375,5491.40625,18740.0,18744.0,,
3092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5488.4765625,5487.890625,18734.0,18732.0,,
3112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5481.73828125,5482.91015625,18711.0,,,
3113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18715.0,,
3153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5480.2734375,5479.1015625,18706.0,18702.0,,
3173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5476.46484375,5476.171875,18693.0,18692.0,,
3192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5473.2421875,,,,,
3193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5473.828125,18682.0,18684.0,,
3213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5470.60546875,5467.96875,18673.0,18664.0,,
3233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5467.08984375,,18661.0,,,
3253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5461.81640625,5460.9375,18643.0,18640.0,,
3294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5456.54296875,5456.25,18625.0,18624.0,,
3334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5453.3203125,5453.3203125,18614.0,18614.0,,
3354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5450.09765625,5451.5625,18603.0,18608.0,,
3374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5448.92578125,5448.33984375,18599.0,18597.0,,
3394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5445.703125,5445.41015625,18588.0,18587.0,,
3414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5440.72265625,5440.72265625,18571.0,18571.0,,
3454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5438.0859375,5435.7421875,18562.0,18554.0,,
