Timestamp,Event,Event Description,Event Severity,network_table:///FMSInfo/EventName,network_table:///FMSInfo/FMSControlData,network_table:///FMSInfo/GameSpecificMessage,network_table:///FMSInfo/IsRedAlliance,network_table:///FMSInfo/MatchNumber,network_table:///FMSInfo/MatchType,network_table:///FMSInfo/ReplayNumber,network_table:///FMSInfo/StationNumber,network_table:///LiveWindow/Ungrouped/Talon FX [0]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [1]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [2]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [3]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [4]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [5]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [13]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [14]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [8]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [9]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [11]/Value,network_table:///LiveWindow/Ungrouped/navX-Sensor/Value,network_table:///Shuffleboard/drive/Feeder % req,network_table:///Shuffleboard/drive/KF,network_table:///Shuffleboard/drive/KI,network_table:///Shuffleboard/drive/KP,network_table:///Shuffleboard/drive/Target RPM,network_table:///SmartDashboard/Shooter KF Feedback,network_table:///SmartDashboard/Shooter KP Feedback,network_table:///SmartDashboard/Shooter RPM Feedback,network_table:///SmartDashboard/feedPercentReqFB:,network_table:///SmartDashboard/left stick:,network_table:///SmartDashboard/shooter1RPM:,network_table:///SmartDashboard/shooter2RPM:,network_table:///SmartDashboard/shooterFalcon1 velocity:,network_table:///SmartDashboard/shooterFalcon2 velocity:,network_table:///SmartDashboard/targetRPM:,network_table:///SmartDashboard/targetUp100ms:
3782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6109.86328125,6108.69140625,20855.0,20851.0,,
3802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6113.96484375,6112.79296875,20869.0,20865.0,,
3822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6117.48046875,6116.6015625,20881.0,20878.0,,
3845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6120.99609375,6120.41015625,20893.0,20891.0,,
3862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6123.92578125,6123.92578125,,,,
3863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20903.0,20903.0,,
3882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6125.9765625,,,,,
3883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6126.85546875,20910.0,20913.0,,
3904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6128.3203125,6129.78515625,20918.0,20923.0,,
3924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6130.95703125,6131.8359375,20927.0,20930.0,,
3944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6133.30078125,6134.1796875,20935.0,20938.0,,
3963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6136.5234375,6136.5234375,20946.0,20946.0,,
3983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6139.453125,6139.453125,20956.0,20956.0,,
4003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6142.67578125,,,,,
4004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6141.796875,20967.0,20964.0,,
4023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6145.3125,6145.01953125,20976.0,,,
4024,,,,,,,,,,,,,,,,,,,,,,,-2.3499999046325684,,,,,,,,,,,,,,20975.0,,
4044,,,,,,,,,,,,,,,,,,,,,,,-2.3399999141693115,,,,,,,,,,,6147.65625,6147.65625,20984.0,20984.0,,
4064,,,,,,,,,,,,,,,,,,,,,,,-2.3499999046325684,,,,,,,,,,,6149.4140625,6150.29296875,20990.0,20993.0,,
4085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6151.171875,6152.34375,20996.0,21000.0,,
4105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6152.63671875,6154.1015625,21001.0,21006.0,,
4126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6154.39453125,6155.2734375,21007.0,21010.0,,
4145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6156.73828125,6156.73828125,21015.0,21015.0,,
4165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6158.7890625,6158.203125,21022.0,21020.0,,
4185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6161.1328125,6159.66796875,21030.0,21025.0,,
4206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6163.18359375,6161.71875,21037.0,21032.0,,
